"annotation_id","annotator","article_id","chunk_number","chunk_text","created_at","id","lead_time","news_outlet","sentiment","updated_at"
132,"1",22,4,"And if she were still under 18 years old, the government would have a duty to take her and her unborn child's ""best interests"" into account in deciding what to do next. But she's now an apparently unrepentant adult - and that means she would have to account for her decisions, even if her journey is a story of grooming and abuse. Another British jihadi bride, Tareena Shakil, who got out of the war zone with her child, lied to the security services on her return and was jailed for membership of a terrorist group. If Ms Begum got out of the country, that is the kind of charge she could face - along with encouraging or supporting terrorism.","2026-04-26T16:15:16.412594Z",16,50.248,"BBC","Negative","2026-04-26T16:15:16.412594Z"
120,"1",22,5,"But that's a long way off. Assuming she made it to an airport, the UK could temporarily ban her from returning until she agreed to be investigated, monitored and deradicalised. Social services would also certainly step in to consider whether her child should be removed to protect him or her from radicalisation. In an interview with the Times, Ms Begum, who married an IS fighter, showed little remorse for her involvement with the terror group and said she was not fazed by seeing ""beheaded heads"" in bins.","2026-04-26T16:05:54.569154Z",17,44.827,"BBC","Neutral","2026-04-26T16:05:54.569154Z"
150,"1",22,6,"""I'm not the same silly little 15-year-old schoolgirl who ran away from Bethnal Green four years ago,"" she said. ""I don't regret coming here."" However, she said that after the ""shock"" of losing two children to illness while living in Syria, she was scared her unborn baby would also die if she stayed in the refugee camp to which she fled last month. She said: ""I'll do anything required just to be able to come home and live quietly with my child.""","2026-04-26T16:23:50.418685Z",18,15.592,"BBC","Neutral","2026-04-26T16:23:50.418685Z"
73,"1",22,7,"Ms Begum said life in the one-time IS stronghold of Raqqa had lived up to her expectations: ""The life that they show on the propaganda videos - it's a normal life. ""Every now and then there are bombs and stuff. But other than that..."" But she said she felt the IS ""caliphate"" was at an end.","2026-04-26T15:41:05.836846Z",19,42.725,"BBC","Neutral","2026-04-26T15:41:05.836846Z"
152,"1",22,8,"""I don't have high hopes. They are just getting smaller and smaller,"" she said. ""And there is so much oppression and corruption going on that I don't really think they deserve victory."" Ms Begum's family have appealed for the teenager to be shown mercy.","2026-04-26T16:25:03.698570Z",20,35.061,"BBC","Neutral","2026-04-26T16:25:03.698570Z"
108,"1",22,9,"Her brother-in-law Mohammed Rahman, 36, told the Times: ""She was so young - I don't think she had the life experience to make those decisions."" ""I think the hope would be that she would be allowed to return home, as long as the government is satisfied she has turned her back on their ideology,"" he said. Ms Begum was one of three schoolgirls, along with Kadiza Sultana, 16, and Amira Abase, 15, from Bethnal Green Academy in east London, who left the UK for Syria in February 2015. She escaped from Baghuz - IS's last territory in eastern Syria - two weeks ago.","2026-04-26T16:00:08.371330Z",21,9.81,"BBC","Neutral","2026-04-26T16:00:08.371330Z"
105,"1",22,10,"Her husband surrendered to a group of Syrian fighters as they left, and she is now one of 39,000 people in a camp in northern Syria. Diane Foley - whose son James, an American journalist, was kidnapped and beheaded by IS seven years ago - said that the group's supporters did not ""necessarily"" have to be treated as criminals and deserved a trial. She told BBC Radio 4's Today programme that she felt ""very strongly that Isis continues to be a threat"", adding: ""It's very difficult to discern how much of a threat they continue to be when they want to return home. ""We have to be very careful and very vigilant with any of these folks who have been involved in so many human rights atrocities.""","2026-04-26T15:58:18.840885Z",22,49.569,"BBC","Neutral","2026-04-26T15:58:18.840885Z"
103,"1",22,11,"IS has lost control of most of the territory it overran, including its strongholds of Mosul in Iraq and Raqqa in Syria. However, fighting continues in north-eastern Syria, where the Kurdish-led Syrian Democratic Forces (SDF) say they captured dozens of foreign fighters in recent weeks.","2026-04-26T15:57:18.228073Z",23,6.091,"BBC","Neutral","2026-04-26T15:57:18.228073Z"
37,"1",16,1,"The family of Shamima Begum tried to get her away from the Islamic State group ""from day one"", their lawyer Tasnime Akunjee has said. Shamima Begum, from Bethnal Green, east London, fled the UK to join the Islamic State group in Syria in 2015. She was found in a Syrian refugee camp last week and has since given birth to a boy. She now wants to come home.","2026-04-26T15:11:45.338828Z",24,10.994,"BBC","Neutral","2026-04-26T15:11:45.338828Z"
77,"1",16,2,"Mr Akunjee said the family hopes that professionals in the UK can help Ms Begum deal with the ""damage"" to her mental health caused by IS. The government does not have consular staff in Syria, and says it will not risk any lives to help Britons who have joined a banned terrorist group. Some migrants are being encouraged to fabricate abuse allegations in order to stay in the UK. Lord Mandelson has been released pending further investigation, the Metropolitan Police says, hours after his arrest on suspicion of misconduct in public office.","2026-04-26T15:43:23.463980Z",25,57.629,"BBC","Neutral","2026-04-26T15:43:23.463980Z"
34,"1",16,3,"The former prince was arrested on suspicion of misconduct in public office and taken to a Norfolk police station for questioning on Thursday 19 February. The former prince spent the day at a police station in Norfolk, before being released under investigation. The former prince was seen leaving Aylsham police station on Thursday evening. Crowds and press were at a London Fashion Week event attended by the King hours after the arrest of Andrew Mountbatten-Windsor.","2026-04-26T15:10:14.873325Z",26,7.707,"BBC","Neutral","2026-04-26T15:10:14.873325Z"
20,"1",16,4,"Unmarked police vehicles were seen arriving at Sandringham Estate, where Andrew Mountbatten-Windsor has been living. Jonathan Dimbleby tells BBC Newsnight that the King will be ""feeling the pain"" of the scandal surrounding his brother. A jury has seen footage of a cargo ship crashing into an oil tanker, which triggered an explosion and killed a crew member. Queen Camilla has praised the courage of John and Amy Hunt, whose family were killed last year.","2026-04-26T13:30:33.656519Z",27,17.913,"BBC","Neutral","2026-04-26T13:30:33.656519Z"
30,"1",16,5,"The ice-skating duo are best known for their winning performance at the 1984 winter Olympics. The broadcaster and maths teacher is appointed an MBE for his services to public libraries. The King's Christmas message calls for unity in a divided world. Richard Davies and Faye Stevenson-Davies first won the jackpot in 2018, and have beaten the odds yet again.","2026-04-26T15:08:29.518298Z",28,4.912,"BBC","Neutral","2026-04-26T15:08:29.518298Z"
28,"1",16,6,"The new head of Britain's overseas spy agency has warned about an interlocking web of security challenges. The car - made famous by James Bond became so dilapidated local children played on it - has been restored and is now worth £1m. King Charles III laid a wreath at the monument in central London as the nation remembered its war dead. The BBC's Ed Thomas confronted Kardos Mateen, who is at the centre of an illegal worker network. A recording of the programme was interrupted on Thursday as the news broke.","2026-04-26T15:07:54.444949Z",29,8.446,"BBC","Neutral","2026-04-26T15:07:54.444949Z"
31,"1",167,1,"The heavily-pregnant east London schoolgirl who ran away to become an ISIS bride fears she won't see her jihadist husband again. Shamima Begum , 19, is pleading with the Government to allow her back into the country to have her baby but admits she'll miss Dutch jihadist Yago Riedijk, whom she said she still loved very much'. It was revealed tonight that Begum - who is living at a refugee camp in Syria after the terror group was brought to its knees - was taken to hospital with false contractions. In a new interview with Times journalist Anthony Loyd at the al-Hasakeh refugee camp, she said: 'It was really hot.","2026-04-26T15:09:23.334735Z",30,48.959,"Daily Mail","Negative","2026-04-26T15:09:23.334735Z"
72,"1",167,2,"My contractions started and I was bleeding. I was in the hospital for five days, then they brought me back.' Shamima Begum, 19, is pleading with the Government to allow her back into the country to have her baby but admits she'll miss her jihadist husband Yago Riedijk (left) is a 26-year-old Dutch convert who fled his comfortable middle-class home to join IS – earning him a six-year jail sentence in his absence in Holland 'I'm nine months now. I should be giving birth any day.","2026-04-26T15:40:21.146469Z",31,26.285,"Daily Mail","Negative","2026-04-26T15:40:21.146469Z"
114,"1",167,3,"Especially with this stressful situation,' she added. Ms Begum fears her unborn baby will be taken away from her as her family pleaded for the teenager to be allowed back to the UK 'as a matter of urgency'. Ms Begum said she understood the controversy and intense media scrutiny a return to the UK would bring, but said she did not want to be separated from her child. She said: 'What do you think will happen to my child? '","2026-04-26T16:02:52.680657Z",32,13.905,"Daily Mail","Neutral","2026-04-26T16:02:52.680657Z"
128,"1",167,4,"Because I don't want it to be taken away from me, or at least if it is, to be given to my family.' She also said she had been taken to hospital after having contractions following her arrival at the refugee camp, and could give birth 'any day'. The pregnant 19-year-old was tracked down by the newspaper four years after she travelled to Syria as a 15-year-old to join Islamic State, and she told how she would 'do anything required just to be able to come home and live quietly with my child'. Her case has been the subject of intense debate over what should happen to the teenager.","2026-04-26T16:12:39.044066Z",33,36.681,"Daily Mail","Neutral","2026-04-26T16:12:39.044066Z"
99,"1",167,5,"In a statement issued to ITV News, her family urged the Government to help her return to Britain to protect the welfare of her baby. 'Given Shamima's four-year ordeal, we are concerned that her mental health has been affected by everything that she has seen and endured,' they said. 'Now, we are faced with the situation of knowing that Shamima's two young children have died - children that we will never come to know as a family. 'This is the hardest of news to bear.","2026-04-26T15:53:22.538750Z",34,28.596,"Daily Mail","Neutral","2026-04-26T15:53:22.538750Z"
142,"1",167,6,"'The welfare of Shamima's unborn baby is of paramount concern to our family, and we will do everything within our power to protect that baby who is entirely blameless in these events.' Begum's family have called for the government to urgently bring her back because the unborn baby is a 'total innocent' Begum says she still loves Riedijk (pictured) very much and fears she'll never see him again if she's allowed back into the UK Ms Begum told The Times she understood she could face a police investigation on her return, admitting: 'I knew that coming back to the UK wouldn't be a quiet thing. It's uncomfortable. 'If I ever do go back, it'll be a long time before the cameras stop and all the questions stop.'","2026-04-26T16:21:13.862462Z",35,32.314,"Daily Mail","Neutral","2026-04-26T16:21:13.862462Z"
35,"1",167,7,"The former east London schoolgirl had previously admitted that she did not regret travelling to IS-controlled Syria, and asserted she was 'not the same silly little 15-year-old schoolgirl who ran away from Bethnal Green four years ago'. The statement her family issued on Friday evening said they were shocked by her comments in the interview, but her words were those 'of a girl who was groomed'. 'We are also mindful that Shamima is currently in a camp surrounded by IS sympathisers and any comments by her could lead directly to danger to her and her child,' they added. Her family said her unborn child had 'every right as a total innocent to have the chance to grow up in the peace and security of this home'.","2026-04-26T15:11:12.423979Z",36,53.569,"Daily Mail","Neutral","2026-04-26T15:11:12.423979Z"
141,"1",167,8,"'We welcome an investigation in what she did while she was there under the principles of British justice and would request the British Government assist us in returning Shamima and her child to the UK as a matter of urgency,' the statement said. Meanwhile the identity of her husband was revealed as Yago Riedijk, a Dutch convert who fled his comfortable middle-class home to join IS – earning him a six-year jail sentence in his absence in Holland. He sent his family photographs from Syria posing with a fake rifle and in military gear. Riedijk also asked for cash and boasted about marrying a 15-year-old British girl.","2026-04-26T16:20:39.322706Z",37,32.07,"Daily Mail","Neutral","2026-04-26T16:20:39.322706Z"
69,"1",167,9,"Pictured: Begum at Gatwick Airport heading for Turkey in 2015 where she crossed into Syria It was a far cry from earlier photos of him sitting on the bike with a child in front of him outside his parents' home in the Dutch city of Arnhem. In others, his mother lovingly drapes her arm over his shoulder. He was sentenced alongside six others in July after ignoring pleas from his family and the Dutch authorities to return home.","2026-04-26T15:39:20.761704Z",38,215.786,"Daily Mail","Neutral","2026-04-26T15:39:20.761704Z"
66,"1",167,10,"Riedijk's whereabouts are unknown following his surrender to a Syrian rebel group. Begum, who married him in 2015, said they were separated as they fled the last IS stronghold in Baghuz. Last night, the shutters at his parents' smart semi-detached home in a suburb of Arnhem were drawn. But neighbours told of their surprise that the once 'polite, friendly' little boy, who would play football in the street with his sister, was a jihadi fighter.","2026-04-26T15:34:54.316870Z",39,19.289,"Daily Mail","Neutral","2026-04-26T15:34:54.316870Z"
95,"1",167,11,"It comes as her family pleaded with the Government to allow the teenager back into the UK. In a statement, her parents said the unborn baby is a 'total innocent' who has the right to grow up in the 'peace and security' of the UK. Ms Begum was one of three Bethnal Green Academy schoolgirls who joined the terrorist group four years ago. But the terror group has now been reduced to a tiny patch of land and Ms Begum is now in a refugee camp in Syria .","2026-04-26T15:51:35.212955Z",40,18.262,"Daily Mail","Negative","2026-04-26T15:51:35.212955Z"
41,"1",167,12,"The Government has indicated it will not allow her to return. The development comes hours after a British former Guantanamo Bay prisoner called for Begum to be allowed to return because she is heavily pregnant and not a 'threat'. On Good Morning Britain former U.S. prisoner Moazzam Begg came to her defence, as debate rages over her future. Mr Begg, who was held from 2002 to 2005, said: 'I was held with young teenagers from the age of 14 to 15, some were terribly wounded, some were Western citizens.","2026-04-26T15:13:45.820575Z",41,21.643,"Daily Mail","Neutral","2026-04-26T15:13:45.820575Z"
147,"1",167,13,"' They ended up there because of decisions by their parents and so forth and ended up in prison. 'We keep saying she's unrepentant, but how has that been interrogated by a short interview by the Times? 'I think we cherry pick what's been said - she also says that the Islamic State didn't deserve victory because of its abuses.","2026-04-26T16:22:32.609841Z",42,7.15,"Daily Mail","Neutral","2026-04-26T16:22:32.609841Z"
143,"1",167,14,"'The issue here in relation to this young girl is will she be a threat? Well she's heavily pregnant at the moment. By the time she comes back, if she comes back, she'll be giving birth.' Yvonne Ridley, a British journalist captured by the Taliban in 2001 who later converted to Islam, also came to the schoolgirl's defence.","2026-04-26T16:21:29.077143Z",43,14.008,"Daily Mail","Neutral","2026-04-26T16:21:29.077143Z"
53,"1",167,15,"She said: 'We're talking about a child who was groomed, that's essentially what happened. She's saying that she doesn't have any regrets but you have to remember she's in a refugee camp now with 39,000 other people. 'Goodness knows how many eyes are on her and she's been brutalised by war. We don't know what she's gone through, we don't know if she feels fearful or she's under threat.","2026-04-26T15:28:03.661706Z",44,31.45,"Daily Mail","Neutral","2026-04-26T15:28:03.661706Z"
36,"1",170,1,"The father of one of the 'Bethnal Green three' says Britain has a duty to welcome Shamima Begum back and told MailOnline today: 'She should be allowed to come home and have her baby in peace'. Abase Hussen, whose daughter Amira is thought to be alive and still alongside ISIS in Syria, said the schoolgirls are victims who should be 'helped, not punished'. Miss Begum is heavily pregnant with her third child and living in a Syrian refugee camp. She says Amira is alive but Kadiza Sultana, the third girl who fled the UK with them, died in an air strike two years ago.","2026-04-26T15:11:32.437680Z",45,18.061,"Daily Mail","Neutral","2026-04-26T15:11:32.437680Z"
75,"1",170,2,"Mr Hussen, 52, who once was filmed at a London flag-burning rally attended by Anjem Choudary, said the three young jihadi brides had 'just made a mistake'. 'These girls were young,' he told MailOnline. 'They were manipulated by evil people and they should be brought home and helped. Not punished.","2026-04-26T15:41:32.223134Z",46,14.366,"Daily Mail","Neutral","2026-04-26T15:41:32.223134Z"
21,"1",170,3,"They pose no threat. Abase Hussen, 52, the father of Amira Abase, (left today) welcomed news that his daughter and her friend Shamima Begum (right) are alive ans said that they should come back to Britain if then can Mr Hussen (circled) attended a heat preacher's rally alongside one of Lee Rigby's killers - and took his daughter - yet said he moved to Britain in 1999 for freedom and democracy Sharmeema Begum - the first Bethnal Green girl to flee to Syria before her three younger friends followed 2014 - December - Counter terrorism police question Shamima Begum, Kadiz Sultana and Amira Abase after their friend Sharmeema Begum goes to Syria. 2015 - February 17 - Kadiza Sultana, 16, and 15-year-olds Shamima Begum and Amira Abase leave their east London homes at 8am to travel to Istanbul in Turkey from Gatwick Airport. Begum and Abase - who has not yet been publicly named - are reported missing by their families later the same day.","2026-04-26T13:32:00.098425Z",47,79.366,"Daily Mail","Neutral","2026-04-26T13:32:00.098425Z"
140,"1",170,4,"- February 18 - Sultana is reported missing to the police. - February 20 - The Metropolitan Police launch a public appeal for information on the missing girls who are feared to have gone on to Syria. - February 21 - Four days after the girls went missing, police believe they may still be in Turkey. It is revealed that at least one of the missing girls had Twitter contact with Aqsa Mahmood, who left her Glasgow home in November 2013 and travelled to Syria after becoming radicalised.","2026-04-26T16:20:04.188807Z",48,8.594,"Daily Mail","Neutral","2026-04-26T16:20:04.193398Z"
139,"1",170,5,"- February 22 - Abase's father Abase Hussen says his daughter told him she was going to a wedding on the day she disappeared. Metropolitan Police officers arrive in Turkey, but refuse to confirm whether they are involved in the search for the teenagers. 2016 - August 2016 - Sultana, 17, is reportedly killed in Raqqa when a suspected Russian air strike obliterates her house. 2019 - February 14 - Begum, 19, tells Anthony Loyd of The Times that she wants to return to the UK to give birth to her third child.","2026-04-26T16:19:53.955613Z",49,20.723,"Daily Mail","Neutral","2026-04-26T16:19:53.955613Z"
49,"1",170,6,"Speaking from a refugee camp in Syria, she adds she does not regret joining IS and that she believes, contrary to reports in 2018, that her other companion Abase is still alive in Baghuz. ' The British government have not done anything to help me or the other parents. We have been badly treated. 'Shamima should be allowed to come home and have her baby in peace.","2026-04-26T15:26:36.319970Z",50,26.015,"Daily Mail","Neutral","2026-04-26T15:26:36.319970Z"
145,"1",170,7,"'I'm just waiting for the time when I can see my daughter. Ever since she left I have had hope. Tomorrow is another day. You never know what will happen tomorrow.","2026-04-26T16:22:06.871266Z",51,9.052,"Daily Mail","Neutral","2026-04-26T16:22:06.871266Z"
29,"1",170,8,"The last time I spoke to her was a very, very long time ago.' When asked if he thinks the girls should be able to return to Britain to restart their lives, he said: 'As a parent there is no question. To have your children around you... there is no question. That would make me happy.","2026-04-26T15:08:17.867466Z",52,9.138,"Daily Mail","Neutral","2026-04-26T15:08:17.867466Z"
94,"1",170,9,"It gives me some hope as well.' He added: 'It was just a mistake that the girls left their families to go to a place like that. 'What I would say to her, if she reads this, is just come back, please. Come home to us. That's all I can say'.","2026-04-26T15:51:15.131636Z",53,17.425,"Daily Mail","Neutral","2026-04-26T15:51:15.131636Z"
74,"1",170,10,"Mr Hussen, who has two other grown up children, said he and his wife had lost contact with Amira last year. 'The last conversation we had with my daughter was over a year ago when she called out of the blue,' he said. 'I was full of so much sorrow that I couldn't speak with her properly. My heart is filled with grief.","2026-04-26T15:41:14.279259Z",54,6.866,"Daily Mail","Neutral","2026-04-26T15:41:14.279259Z"
146,"1",170,11,"'I have two other teenage children and I constantly worry about what they are getting up to and that they might also be radicalised. I'm a humble man, I fear God and don't deserve this.' Mr Hussen, a security guard, said three families of the runaway girls had been in close contact when they went missing in 2015, but had gradually lost touch. 'There's been no co-ordination in helping our children to return,' he said.","2026-04-26T16:22:23.798842Z",55,14.371,"Daily Mail","Neutral","2026-04-26T16:22:23.798842Z"
144,"1",170,12,"'Nothing is being done for us. 'The intelligence services visited a few times but we've had no help from the government'. Mr Hussen, who has been in the UK since 1999, originally comes from Ethiopia, where Amira was born. He blamed police for failing to stop his daughter fleeing to join ISIS.","2026-04-26T16:21:48.052560Z",56,23.019,"Daily Mail","Negative","2026-04-26T16:21:54.315836Z"
121,"1",170,13,"But months after she vanished it transpired that he had taken her to an extremist rally when she was just 13. He conceded the teenager was 'maybe' influenced by the rally organised by banned terror group Al-Muhajiroun. Shocking footage subsequently emerged of him amid a flag-burning mob, screaming in rage at a protest outside the US embassy in London, in 2012. Also at the rally were hate cleric Anjem Choudary and Michael Adebowale, one of the killers of Fusilier Lee Rigby.","2026-04-26T16:06:36.051796Z",57,39.092,"Daily Mail","Neutral","2026-04-26T16:06:36.051796Z"
110,"1",170,14,"He later apologised for attending, but admitted going to two further rallies – with his impressionable daughter in tow. One took place outside the Saudi embassy in London, in 2013, and is said to have been organised by the Islamic extremist group Al-Muhajiroun, founded by hate cleric Omar Bakri Mohammed and linked to many Islamic terror atrocities of the past decade. The rally was held against the treatment of Ethiopians in Saudi Arabia after human rights violations, and Mr Hussen, 47, who is from Ethiopia, said: 'We both lost many people back home, we wanted to try to get help for people back home, too many human rights violations there. Many died.","2026-04-26T16:00:39.861956Z",58,14.454,"Daily Mail","","2026-04-26T16:00:39.861956Z"
81,"1",170,15,"Maybe it influenced her.' Bethnal Green runaway Amira Abase (left in September) used a pictured of a woman in a full veil clutching a knife on her Twitter page, which has been shut down Mr Abase, 53, says the families of the 'Bethnal Green three' have been badly treated Ms Begum, now 19, was tracked down by The Times to a refugee camp in northern Syria where she is the bride of an Islamic State fighter, nine months pregnant and has had two infant children who are dead. Her husband is in captivity. Stating that 'I don't regret coming here,' she told The Times: 'I'm not the same silly little 15-year-old schoolgirl who ran away from Bethnal Green four years ago.'","2026-04-26T15:45:33.374203Z",59,48.456,"Daily Mail","Neutral","2026-04-26T15:45:33.374203Z"
58,"1",170,16,"She also told the paper: 'The caliphate is over. There was so much oppression and corruption that I don't think they deserved victory. 'I know what everyone at home thinks of me as I have read all that was written about me online. But I just want to come home to have my child.","2026-04-26T15:30:13.720324Z",60,13.364,"Daily Mail","Neutral","2026-04-26T15:30:13.720324Z"
42,"1",170,17,"That's all I want right now. I'll do anything required just to be able to come home and live quietly with my child.' Ms Begum, Kadiza and Amira , who all attended Bethnal Green Academy, left their homes in February 2015 to join a fourth Bethnal Green schoolgirl in Syria who had left London they year before. They each married an Isis foreign fighter, according to The Times.","2026-04-26T15:23:31.567215Z",61,6.716,"Daily Mail","Neutral","2026-04-26T15:23:31.567215Z"
85,"1",170,18,"Kadiza was reported to have been killed in an airstrike on Raqqa in May 2016, while Ms Begum has recently heard second-hand from other people that Amira, and the other schoolgirl who left Britain in 2014, may still be alive. When she arrived, Ms Begum was put in a house where jihadist brides-to-be waited to be married, she said. Ten days after arriving in Raqqa in 2015, she wed a Dutchman who had converted to Islam. She claims her husband was later arrested, charged with spying and tortured.","2026-04-26T15:47:19.412827Z",62,24.329,"Daily Mail","Neutral","2026-04-26T15:47:19.412827Z"
86,"1",170,19,"Kadiza Sultana, then 16, Amira Abase, then 15, in images released by police in 2015 after they ran off to Syria. Miss Sultana was killed in an air strike She left Raqqa in January 2017 with her husband but her children, a girl aged 21 months and a three-month-old boy, both died in recent months. Her son had an unknown illness worsened by malnutrition, The Times said. Ms Begum said she had a 'mostly' a 'normal life in Raqqa, interrupted every now and then by 'bombing and stuff'.","2026-04-26T15:47:46.784732Z",63,22.901,"Daily Mail","Negative","2026-04-26T15:47:46.784732Z"
52,"1",170,20,"She told the paper: 'But when I saw my first severed head in a bin it didn't faze me at all. It was from a captured fighter seized on the battlefield, an enemy of Islam. 'I thought only of what he would have done to a Muslim woman if he had the chance.'","2026-04-26T15:27:29.942561Z",64,23.252,"Daily Mail","Neutral","2026-04-26T15:27:29.942561Z"
